 R £¨m£©             alpha(rad)
506.8096            0.0215
504.6727            0.0332
500.0102            0.0274
516.5969            0.0312
499.2889            0.0536
500.4874            0.0663
508.9452            0.0627
490.3710            0.0728
483.8036            0.0767
505.1449            0.0832
505.2258            0.1081
504.9825            0.0969
501.4325            0.1048
481.1071            0.1025
505.7134            0.1122
498.4752            0.1086
492.4512            0.1305
477.3294            0.1337
488.2399            0.1264
488.7713            0.1223
466.9440            0.1348
477.3897            0.1401
469.1100            0.1599
469.4954            0.1632
492.3944            0.1670
484.5467            0.1681
467.8585            0.1763
491.3432            0.1988
476.4721            0.1697
481.4655            0.1943
476.5648            0.1836
498.1248            0.1758
471.8358            0.1905
469.6140            0.2111
476.3850            0.2050
481.8057            0.2224
479.5461            0.2160
482.5981            0.2308
496.2418            0.2389
481.7687            0.2327
456.3548            0.2324
460.6883            0.2343
472.8451            0.2382
457.3724            0.2435
463.7417            0.2555
454.8525            0.2584
464.1907            0.2722
460.3115            0.2614
449.7617            0.2526
463.5966            0.2677
464.5411            0.2650
477.6182            0.2788
468.0422            0.2790
454.9910            0.2919
461.2404            0.2774
439.4232            0.2812
439.6292            0.2963
448.6982            0.2955
438.2270            0.3105
455.2669            0.3052
460.1392            0.3009
453.1198            0.3166
451.4793            0.3093
450.2624            0.3149
437.0470            0.3115
455.4170            0.3186
442.3426            0.3184
440.1274            0.3017
431.2411            0.3232
430.9827            0.3388
436.9004            0.3637
433.4647            0.3452
422.5220            0.3463
423.8794            0.3548
444.8378            0.3620
428.3405            0.3451
448.9819            0.3853
434.6227            0.3583
444.4360            0.3656
426.8042            0.3839
416.7058            0.3589
433.8280            0.3859
429.6472            0.3903
438.6109            0.3985
421.2033            0.4003
427.7184            0.3906
413.1565            0.4056
420.6830            0.4030
415.4213            0.3905
424.1790            0.4088
433.5610            0.4208
431.2130            0.4087
410.4128            0.4070
423.8361            0.4510
425.2107            0.4188
425.3832            0.4187
401.8483            0.4405
407.3919            0.4399
428.3301            0.4441
